ETABLISSEMENT,HANDICAPS,SITEWEB,TELEPHONE,ADRESSE,ACTIVIT,geo,ARRONDISSEMENT
Hôtel Hor,mental ; visuel,http://www.hotel-hor.com,0156337272,160 rue La Fayette,Hôtel,"48.879371, 2.357662",PARIS 10EME ARRONDISSEMENT
Résidence Internationale de Paris,auditif ; moteur ; mental,http://www.ee-rip.fr,0140314545,44 rue Louis Lumière,Résidence de tourisme,"48.860108, 2.4113569999999998",PARIS 20EME ARRONDISSEMENT
Les Jardins Passagers - La Villette,auditif ; mental ; moteur ; visuel,http://www.villette.com,0140037517,211 Avenue Jean Jaurès,Parc,"48.888947, 2.392436",PARIS 19EME ARRONDISSEMENT
Musée d'Art et d'Histoire du Judaïsme,auditif ; mental,http://www.mahj.org,0153018660,71 rue du Temple,Lieu de visite,"48.86095, 2.355608",PARIS 3EME ARRONDISSEMENT
Galerie des enfants Muséum national d'histoire naturelle,auditif ; mental ; moteur ; visuel,http://www.galeriedesenfants.fr,0140795412,36 rue Geoffroy Saint Hilaire,Lieu de visite,"48.841491, 2.355989",PARIS 5EME ARRONDISSEMENT
Musée en Herbe,auditif ; mental,http://www.musee-en-herbe.com,0140679766,21 rue Hérold,Lieu de visite,"48.865099, 2.341828",PARIS 1EME ARRONDISSEMENT
Paroisse Saint Joseph Artisan,auditif ; mental,http://www.saint-joseph10.fr,0146079287,214 rue La Fayette,Lieu de visite,"48.881799, 2.367075",PARIS 10EME ARRONDISSEMENT
Suite Novotel Porte de la Chapelle,auditif ; moteur ; mental,http://www.suitenovotel.com,0149463939,1 Impasse Marteau,Hôtel,"48.90162, 2.359719",PARIS 18EME ARRONDISSEMENT
Pavillon Delouvrier - La Villette,auditif ; mental ; moteur,http://www.villette.com,0140037575,211 Avenue Jean Jaurès,Parc,"48.888947, 2.392436",PARIS 19EME ARRONDISSEMENT
Maison Victor Hugo,auditif ; moteur ; mental,http://www.musee-hugo.paris.fr,0142721016,Hôtel de Rohan  6 Place des Vosges,Lieu de visite,"48.854808, 2.366232",PARIS 4EME ARRONDISSEMENT
Ibis Budget  Porte de la Chapelle,mental ; moteur,http://www.ibis.com,0158340011,7-9 impasse Marteau,Hôtel,"48.901487, 2.3621309999999998",PARIS 18EME ARRONDISSEMENT
Musée d'Orsay,auditif ; mental,http://www.musee-orsay.fr,0140494796,62 rue de Lille,Lieu de visite,"48.859648, 2.326278",PARIS 7EME ARRONDISSEMENT
Centre National d'art et de culture  Georges Pompidou,auditif ; mental ; moteur,http://www.centrepompidou.fr,0144781233,Place Georges Pompidou,Lieu de visite,"48.854978, 2.365625",PARIS 4EME ARRONDISSEMENT
Folie Information - La Villette,auditif ; mental ; moteur ; visuel,http://www.villette.com,0140037575,211 avenue Jean Jaures,Office de tourisme,"48.888947, 2.392436",PARIS 19EME ARRONDISSEMENT
Musée Grévin,auditif ; moteur ; mental,http://www.grevin.com,0147708808,10 bd Montmartre,Lieu de visite,"48.871817, 2.342079",PARIS 9EME ARRONDISSEMENT
Suite Novotel - Porte de Montreuil - Paris,auditif ; mental,http://www.suitenovotel.com,0149938888,22 Avenue du Professeur Lemierre,Hôtel,"48.856021, 2.415101",PARIS 20EME ARRONDISSEMENT
Café Signes,auditif ; mental ; visuel,http://www.cafesignes.com,0140528110,33 avenue Jean Moulin,Restaurant,"48.825926, 2.322524",PARIS 14EME ARRONDISSEMENT
Ibis Gare du Nord Lafayette,auditif ; mental,http://www.ibishotel.com,0145238390,122 rue Lafayette,Hôtel,"48.878052, 2.352621",PARIS 10EME ARRONDISSEMENT
Musée Rodin,auditif ; mental,http://www.musee-rodin.fr,0144186185,79 rue de Varenne,Lieu de visite,"48.856049, 2.315334",PARIS 7EME ARRONDISSEMENT
La Maison Rouge,moteur,http://www.lamaisonrouge.org,0140010881,10 bd de la Bastille,Lieu de visite,"48.847371, 2.3675319999999997",PARIS 12EME ARRONDISSEMENT
Musée National Histoire Naturelle Auditorium,auditif ; mental,http://www.galeriedesenfants.fr,0140795412,36 rue Geoffroy Saint Hilaire,Lieu de visite,"48.841491, 2.355989",PARIS 5EME ARRONDISSEMENT
Musée de la Poupée,auditif ; mental,http://www.museedelapoupeeparis.com,0142727311,Impasse Berthaud,Lieu de visite,"48.861267, 2.354106",PARIS 3EME ARRONDISSEMENT
Jardin des Tuileries,auditif ; mental ; visuel,http://www.louvre.fr,0140205173,113 rue de Rivoli,Parc,"48.861863, 2.338081",PARIS 1EME ARRONDISSEMENT
Musée du Louvre,auditif ; mental ; moteur,http://www.louvre.fr,0140205050,99 rue de Rivoli,Lieu de visite,"48.862756, 2.334838",PARIS 1EME ARRONDISSEMENT
Cabinet d'Histoire Muséum National d'Histoire Naturelle,auditif ; mental,http://www.galeriedesenfants.fr,0140795412,57 rue Cuvier,Lieu de visite,"48.843834, 2.355199",PARIS 5EME ARRONDISSEMENT
FIAP Jean Monnet Ethic Etap,mental ; moteur,http://www.fiap.asso.fr,0143131700,30 rue Cabanis,Hébergement collectif,"48.830397, 2.338156",PARIS 14EME ARRONDISSEMENT
Bercy Village,auditif ; moteur,http://www.bercy-village.com,0140029199,28 rue François Truffault,Parc,"48.833, 2.385684",PARIS 12EME ARRONDISSEMENT
Muséum National d'Histoire Naturelle Grand Amphithéatre,mental ; moteur,http://www.galeriedesenfants.fr,0140795412,57 rue Cuvier,Lieu de visite,"48.843834, 2.355199",PARIS 5EME ARRONDISSEMENT
Train Touristique Another Paris,auditif ; mental ; moteur ; visuel,http://www.another-paris.com,0631992938,47 rue Froidevaux,Lieu de visite,"48.836171, 2.326838",PARIS 14EME ARRONDISSEMENT
Cité des Sciences et de l'Industrie,auditif ; mental ; moteur ; visuel,http://www.cite-sciences.fr,0153018289,30 rue Corentin Cariou,Lieu de visite,"48.896077, 2.387523",PARIS 19EME ARRONDISSEMENT
Salle de spectacle Le Zèbre de Belleville,auditif ; mental ; moteur,http://www.lezebre.com,0143555555,61-63 bd de Belleville,Lieu de visite,"48.870179, 2.378733",PARIS 11EME ARRONDISSEMENT
Musée du Quai Branly,auditif ; moteur ; mental,http://www.quaibranly.fr/fr/musee/publics/accessibilite.html,0156615318,37 quai Branly,Lieu de visite,"48.861511, 2.29771",PARIS 7EME ARRONDISSEMENT
